code_ine,Nombre,Votantes,Nulos,VotosValidos(votantes-nulos),VotosSinRepresentacion,CandidaturasSinRepresentacion,%SinRepresentacion(votantes-nulos),VotosValidos(enblanco+candidaturas),%SinRepresentacion(enblanco+candidaturas)
34162020081,Zumaia,4919,66,4853,46,1,"0,95%",4853,"0,95%"
34164848008,Artzentales,445,23,422,4,2,"0,95%",422,"0,95%"
34132828002,Ajalvir,2348,29,2319,22,1,"0,95%",2319,"0,95%"
34014141061,Marinaleda,1915,24,1891,18,3,"0,95%",1891,"0,95%"
34091717212,Vidrà,103,0,103,1,1,"0,97%",105,"0,95%"
34090808142,La Nou de Berguedà,118,4,114,1,1,"0,88%",105,"0,95%"
34074949098,Losacino,135,2,133,1,1,"0,75%",105,"0,95%"
34012121014,Bonares,3314,70,3244,31,1,"0,96%",3244,"0,96%"
34123232092,Vilariño de Conso,429,11,418,4,1,"0,96%",418,"0,96%"
34070505175,El Oso,114,8,106,1,1,"0,94%",104,"0,96%"
34162020008,Amezketa,525,5,520,5,1,"0,96%",520,"0,96%"
34104646015,Alcàsser,5768,65,5703,55,1,"0,96%",5703,"0,96%"
34162020007,Altzo,230,23,207,2,1,"0,97%",207,"0,97%"
34033333016,Castrillón,12348,148,12200,118,1,"0,97%",12200,"0,97%"
34073737192,Miranda de Azán,213,7,206,2,1,"0,97%",206,"0,97%"
34132828013,Aranjuez,27918,525,27393,266,1,"0,97%",27393,"0,97%"
34092525218,Tarrés,78,0,78,1,1,"1,28%",102,"0,98%"
34162020022,Berastegi,616,5,611,6,1,"0,98%",611,"0,98%"
34132828037,Cenicientos,1347,27,1320,13,2,"0,98%",1320,"0,98%"
34123232014,A Bola,818,8,810,8,1,"0,99%",810,"0,99%"
34110606901,Valdelacalzada,1738,20,1718,17,1,"0,99%",1718,"0,99%"
34090808052,Castellar de n'Hug,124,0,124,1,1,"0,81%",101,"0,99%"
34072424190,Valverde-Enrique,116,6,110,1,1,"0,91%",100,"1,00%"
34072424198,Vega de Valcarce,403,3,400,4,1,"1,00%",400,"1,00%"
34053838044,El Tanque,1704,14,1690,17,1,"1,01%",1690,"1,01%"
34162020025,Zegama,901,8,893,9,1,"1,01%",893,"1,01%"
34072424061,Cuadros,1404,18,1386,14,1,"1,01%",1386,"1,01%"
34164848009,Arrankudiaga-Zollo,602,9,593,6,1,"1,01%",593,"1,01%"
34014141903,El Cuervo de Sevilla,4901,118,4783,49,1,"1,02%",4783,"1,02%"
34123232047,A Merca,1281,13,1268,13,1,"1,03%",1268,"1,03%"
34104646199,La Pobla de Farnals,4429,42,4387,45,1,"1,03%",4387,"1,03%"
34162020077,Urretxu,3258,28,3230,34,1,"1,05%",3230,"1,05%"
34081313023,Bolaños de Calatrava,6453,190,6263,66,1,"1,05%",6263,"1,05%"
34121515088,Val do Dubra,2468,20,2448,26,2,"1,06%",2448,"1,06%"
34012929030,El Borge,662,5,657,7,1,"1,07%",657,"1,07%"
34012121024,Corteconcepción,392,17,375,4,1,"1,07%",375,"1,07%"
34164848057,Lekeitio,4165,58,4107,44,2,"1,07%",4107,"1,07%"
34092525092,La Floresta,106,0,106,1,1,"0,94%",93,"1,08%"
34070505901,San Juan de Gredos,192,6,186,2,1,"1,08%",186,"1,08%"
34072424102,Noceda del Bierzo,466,5,461,5,1,"1,08%",461,"1,08%"
34162020065,Soraluze - Placencia de las Armas,1771,24,1747,19,1,"1,09%",1747,"1,09%"
34053838048,Valverde,2823,77,2746,30,1,"1,09%",2746,"1,09%"
34080202041,Jorquera,278,5,273,3,1,"1,10%",273,"1,10%"
34053838027,El Paso,4378,63,4315,48,1,"1,11%",4315,"1,11%"
34011111010,Bornos,3930,83,3847,43,1,"1,12%",3847,"1,12%"
34162020038,Gabiria,269,1,268,3,1,"1,12%",268,"1,12%"
34025050200,Paniza,456,10,446,5,1,"1,12%",446,"1,12%"
34092525913,Riu de Cerdanya,78,4,74,1,1,"1,35%",89,"1,12%"
34084545146,Retamoso de la Jara,101,3,98,1,1,"1,02%",89,"1,12%"
34094343027,La Bisbal de Falset,119,2,117,1,1,"0,85%",89,"1,12%"
34162020062,Ormaiztegi,631,12,619,7,1,"1,13%",619,"1,13%"
34025050027,Ambel,183,7,176,2,1,"1,14%",176,"1,14%"
34011111902,San José del Valle,2663,31,2632,30,1,"1,14%",2632,"1,14%"
34011818046,Castril,1325,9,1316,15,1,"1,14%",1316,"1,14%"
34025050296,La Zaida,269,7,262,3,1,"1,15%",262,"1,15%"
34094343015,Arbolí,93,3,90,1,1,"1,11%",87,"1,15%"
34024444220,Torralba de los Sisones,101,2,99,1,1,"1,01%",87,"1,15%"
34092525150,Oliola,174,5,169,1,1,"0,59%",87,"1,15%"
34011818029,Benamaurel,1311,8,1303,15,1,"1,15%",1303,"1,15%"
34121515020,Carnota,2361,24,2337,27,1,"1,16%",2337,"1,16%"
34164848015,Basauri,18050,275,17775,206,1,"1,16%",17775,"1,16%"
34070505172,Niharra,87,0,87,1,1,"1,15%",86,"1,16%"
34010404006,Albox,5104,45,5059,59,1,"1,17%",5059,"1,17%"
34092525210,Soses,860,7,853,10,1,"1,17%",853,"1,17%"
34080202075,Valdeganga,1460,11,1449,17,1,"1,17%",1449,"1,17%"
34162020017,Azkoitia,5307,54,5253,62,1,"1,18%",5253,"1,18%"
34132828113,Pinto,27370,372,26998,319,1,"1,18%",26998,"1,18%"
34172626129,San Asensio,767,7,760,9,1,"1,18%",760,"1,18%"
34164848902,Erandio,10837,246,10591,126,1,"1,19%",10591,"1,19%"
34104646263,Zarra,255,4,251,3,1,"1,20%",251,"1,20%"
34164848040,Gatika,930,12,918,11,2,"1,20%",918,"1,20%"
34162020076,Ordizia,4441,59,4382,53,1,"1,21%",4382,"1,21%"
34094343076,Marçà,334,5,329,4,1,"1,22%",329,"1,22%"
34164848059,Mañaria,335,6,329,4,1,"1,22%",329,"1,22%"
34024444059,Cantavieja,501,8,493,6,1,"1,22%",493,"1,22%"
34074949155,Piedrahita de Castro,86,7,79,1,1,"1,27%",82,"1,22%"
34092525245,Vilaller,331,4,327,4,1,"1,22%",327,"1,22%"
34011414055,Priego de Córdoba,11003,221,10782,132,1,"1,22%",10782,"1,22%"
34012929090,Tolox,1247,23,1224,15,1,"1,23%",1224,"1,23%"
34092525124,Lladurs,112,6,106,1,1,"0,94%",81,"1,23%"
34074040107,Labajos,83,2,81,1,1,"1,23%",81,"1,23%"
34014141063,Los Molares,2211,32,2179,27,1,"1,24%",2179,"1,24%"
34025050085,Codo,166,0,166,2,1,"1,20%",161,"1,24%"
34164848019,Berriz,2121,34,2087,26,1,"1,25%",2087,"1,25%"
34025050275,Valmadrid,110,2,108,1,1,"0,93%",80,"1,25%"
34073737285,San Felices de los Gallegos,252,12,240,3,1,"1,25%",240,"1,25%"
34164848095,Zaldibar,1394,40,1354,17,1,"1,26%",1354,"1,26%"
34110606002,Aceuchal,3167,74,3093,39,1,"1,26%",3093,"1,26%"
34074747011,Ataquines,475,0,475,6,1,"1,26%",475,"1,26%"
34011818175,Santa Fe,7592,175,7417,94,1,"1,27%",7417,"1,27%"
34014141097,Villamanrique de la Condesa,2490,45,2445,31,1,"1,27%",2445,"1,27%"
34132828075,Loeches,4610,65,4545,58,1,"1,28%",4545,"1,28%"
34073737350,Vilvestre,321,8,313,4,1,"1,28%",313,"1,28%"
34081313052,Malagón,4779,110,4669,60,1,"1,29%",4669,"1,29%"
34092525021,Almenar,1497,24,1473,19,1,"1,29%",1473,"1,29%"
34162020015,Ataun,864,19,845,11,1,"1,30%",845,"1,30%"
34014141077,La Puebla de Cazalla,6044,149,5895,77,1,"1,31%",5895,"1,31%"
34123636051,Sanxenxo,8919,245,8674,114,1,"1,31%",8674,"1,31%"
34024444111,Fuentes Calientes,55,2,53,1,1,"1,89%",76,"1,32%"
34081919044,Atienza,233,5,228,3,1,"1,32%",228,"1,32%"
34160101042,Okondo,776,16,760,10,2,"1,32%",760,"1,32%"
34164848906,Forua,610,2,608,8,2,"1,32%",608,"1,32%"
34084545133,Polán,2188,78,2110,28,1,"1,33%",2110,"1,33%"
34153131163,Marcilla,1587,19,1568,21,1,"1,34%",1568,"1,34%"
34011818028,Benalúa de las Villas,761,15,746,10,1,"1,34%",746,"1,34%"
34081616017,Almodóvar del Pinar,307,9,298,4,1,"1,34%",298,"1,34%"
34012929027,Benamocarra,1966,33,1933,26,1,"1,35%",1933,"1,35%"
34104646237,Tavernes Blanques,5110,59,5051,68,1,"1,35%",5051,"1,35%"
34014141093,Tomares,12880,95,12785,174,1,"1,36%",12785,"1,36%"
34162020043,Idiazabal,1254,8,1246,17,1,"1,36%",1246,"1,36%"
34164848064,Meñaka,517,4,513,7,1,"1,36%",513,"1,36%"
34070505242,Tiñosillos,588,3,585,8,1,"1,37%",585,"1,37%"
34072424079,Gradefes,667,9,658,9,1,"1,37%",658,"1,37%"
34090808023,Bigues i Riells,3879,82,3797,52,1,"1,37%",3797,"1,37%"
34025050202,Paracuellos de la Ribera,80,3,77,1,1,"1,30%",73,"1,37%"
34025050102,Fabara,663,10,653,9,1,"1,38%",653,"1,38%"
34123636054,Tomiño,7732,124,7608,106,1,"1,39%",7608,"1,39%"
34011111901,Benalup-Casas Viejas,4221,59,4162,58,1,"1,39%",4162,"1,39%"
34012121051,La Nava,190,6,184,2,1,"1,09%",143,"1,40%"
34074747031,El Campillo,131,5,126,16,1,"12,70%",119,"13,45%"
34143030029,Mula,8643,106,8537,120,1,"1,41%",8537,"1,41%"
34101212089,Peníscola/Peñíscola,3675,67,3608,51,1,"1,41%",3608,"1,41%"
34104646172,Montserrat,4160,60,4100,58,1,"1,41%",4100,"1,41%"
34081616901,Campos del Paraíso,439,15,424,6,1,"1,42%",424,"1,42%"
34010404019,Bacares,185,5,180,2,1,"1,11%",141,"1,42%"
34014141013,Aznalcóllar,3711,45,3666,52,2,"1,42%",3666,"1,42%"
34172626059,Entrena,936,24,912,13,1,"1,43%",912,"1,43%"
34053838018,La Guancha,3225,72,3153,45,1,"1,43%",3153,"1,43%"
34172626022,Azofra,144,5,139,2,1,"1,44%",140,"1,43%"
34094343046,Conesa,84,4,80,1,1,"1,25%",70,"1,43%"
34092525204,Seròs,856,16,840,12,1,"1,43%",840,"1,43%"
34164848060,Markina-Xemein,2408,28,2380,34,2,"1,43%",2380,"1,43%"
34164848029,Etxebarri,5682,33,5649,81,1,"1,43%",5649,"1,43%"
34090808040,Canet de Mar,5959,111,5848,84,1,"1,44%",5848,"1,44%"
34100303112,Relleu,715,19,696,10,1,"1,44%",696,"1,44%"
34091717174,Sant Miquel de Campmajor,125,1,124,2,1,"1,61%",139,"1,44%"
34123636033,Mos,8881,143,8738,126,1,"1,44%",8738,"1,44%"
34162020070,Segura,768,9,759,11,1,"1,45%",759,"1,45%"
34164848052,Larrabetzu,1209,39,1170,17,2,"1,45%",1170,"1,45%"
34110606122,Los Santos de Maimona,4922,111,4811,70,2,"1,45%",4811,"1,45%"
34123636006,Cambados,8145,125,8020,117,1,"1,46%",8020,"1,46%"
34195252001,Melilla,30010,482,29528,431,3,"1,46%",29528,"1,46%"
34024444056,Caminreal,347,5,342,5,1,"1,46%",342,"1,46%"
34143030009,Archena,9440,154,9286,136,1,"1,46%",9286,"1,46%"
34080202079,Villamalea,2154,42,2112,31,1,"1,47%",2112,"1,47%"
34091717081,Gualta,207,3,204,3,1,"1,47%",204,"1,47%"
34162020028,Zizurkil,1306,16,1290,19,1,"1,47%",1290,"1,47%"
34053838042,Los Silos,2710,70,2640,39,1,"1,48%",2640,"1,48%"
34073434104,Melgar de Yuso,204,1,203,3,1,"1,48%",203,"1,48%"
34143030040,Ulea,630,22,608,9,1,"1,48%",608,"1,48%"
34104646147,Llíria,11519,192,11327,168,1,"1,48%",11327,"1,48%"
34024444096,Ejulve,148,1,147,3,1,"2,04%",202,"1,49%"
34012121003,El Almendro,474,3,471,7,1,"1,49%",471,"1,49%"
34172626004,Ajamil de Cameros,87,2,85,1,1,"1,18%",67,"1,49%"
34011818065,Dehesas Viejas,431,30,401,6,1,"1,50%",401,"1,50%"
34084545132,Pepino,1897,29,1868,28,1,"1,50%",1868,"1,50%"
34094343166,Vilallonga del Camp,1094,28,1066,16,1,"1,50%",1066,"1,50%"
34094343004,Alcanar,3866,107,3759,57,1,"1,52%",3759,"1,52%"
34012929053,Frigiliana,1400,16,1384,21,1,"1,52%",1384,"1,52%"
34025050104,Farlete,336,7,329,5,1,"1,52%",329,"1,52%"
34164848023,Artea,469,14,455,7,2,"1,54%",455,"1,54%"
34074747076,Laguna de Duero,11407,139,11268,174,1,"1,54%",11268,"1,54%"
34092525182,Puigverd de Lleida,786,12,774,12,1,"1,55%",774,"1,55%"
34010404078,Rioja,976,9,967,15,1,"1,55%",967,"1,55%"
34121515048,Miño,3673,64,3609,56,1,"1,55%",3609,"1,55%"
34104646904,Benicull de Xúquer,712,7,705,11,1,"1,56%",705,"1,56%"
34074040903,Marazoleja,71,2,69,1,1,"1,45%",64,"1,56%"
34104646086,Carrícola,79,3,76,1,1,"1,32%",64,"1,56%"
34010404064,Mojácar,2879,65,2814,44,1,"1,56%",2814,"1,56%"
34091717101,Massanes,382,2,380,6,1,"1,58%",380,"1,58%"
34010404101,Viator,2822,38,2784,44,2,"1,58%",2784,"1,58%"
34011111005,Algodonales,3074,104,2970,47,1,"1,58%",2970,"1,58%"
34022222095,Chía,65,1,64,1,1,"1,56%",63,"1,59%"
34185151001,Ceuta,34534,385,34149,543,3,"1,59%",34149,"1,59%"
34162020005,Alegia,949,6,943,15,1,"1,59%",943,"1,59%"
34011818057,Cúllar Vega,3627,48,3579,57,1,"1,59%",3579,"1,59%"
34063939060,Reocín,5078,124,4954,79,1,"1,59%",4954,"1,59%"
34072424063,Cubillas de Rueda,315,2,313,5,1,"1,60%",313,"1,60%"
34074747111,La Pedraja de Portillo,828,15,813,13,1,"1,60%",813,"1,60%"
34123232029,Chandrexa de Queixa,378,3,375,6,1,"1,60%",375,"1,60%"
34164848079,Errigoiti,320,8,312,5,1,"1,60%",312,"1,60%"
34011111034,Setenil de las Bodegas,1840,36,1804,29,1,"1,61%",1804,"1,61%"
34070505178,Palacios de Goda,316,7,309,5,1,"1,62%",309,"1,62%"
34011414066,Villa del Río,3962,87,3875,63,1,"1,63%",3875,"1,63%"
34160101034,Leza,116,9,107,2,1,"1,87%",122,"1,64%"
34132828069,La Hiruela,66,3,63,1,1,"1,59%",61,"1,64%"
34074242058,Castillejo de Robledo,74,5,69,1,1,"1,45%",61,"1,64%"
34053838001,Adeje,10737,138,10599,174,1,"1,64%",10599,"1,64%"
34111010164,San Martín de Trevejo,499,12,487,8,1,"1,64%",487,"1,64%"
34100303005,Albatera,6175,43,6132,101,1,"1,65%",6132,"1,65%"
34072424226,Villaselán,130,2,128,2,1,"1,56%",121,"1,65%"
34010404092,Tíjola,2209,97,2112,35,1,"1,66%",2112,"1,66%"
34022222212,Santaliestra y San Quílez,68,2,66,1,1,"1,52%",60,"1,67%"
34091717129,Pedret i Marzà,82,5,77,1,1,"1,30%",60,"1,67%"
34092525004,Els Alamús,446,27,419,7,1,"1,67%",419,"1,67%"
34132828141,Sevilla la Nueva,4657,61,4596,77,1,"1,68%",4596,"1,68%"
34122727051,Ribadeo,5608,70,5538,93,1,"1,68%",5538,"1,68%"
34074242162,San Esteban de Gormaz,1515,29,1486,25,1,"1,68%",1486,"1,68%"
34040707032,Maó,11859,162,11697,197,1,"1,68%",11697,"1,68%"
34104646057,Benicolet,359,4,355,6,1,"1,69%",355,"1,69%"
34104646207,Rafelbunyol,5046,82,4964,84,1,"1,69%",4964,"1,69%"
34025050196,Orera,82,5,77,1,1,"1,30%",59,"1,69%"
34094343122,Renau,84,3,81,1,1,"1,23%",59,"1,69%"
34074242090,Fuentepinilla,59,0,59,1,1,"1,69%",59,"1,69%"
34081313065,Porzuna,2106,47,2059,35,1,"1,70%",2059,"1,70%"
34091717057,Corçà,651,4,647,11,1,"1,70%",647,"1,70%"
34091717152,Roses,6124,71,6053,103,1,"1,70%",6053,"1,70%"
34070909413,Valle de Valdebezana,357,5,352,6,1,"1,70%",352,"1,70%"
34104646078,Burjassot,18538,273,18265,312,1,"1,71%",18265,"1,71%"
34104646252,Vallanca,115,1,114,2,1,"1,75%",117,"1,71%"
34074949029,Burganes de Valverde,534,11,523,9,1,"1,72%",523,"1,72%"
34070909449,Villanueva de Argaño,78,3,75,1,1,"1,33%",58,"1,72%"
34100303132,Torremanzanas/la Torre de les Maçanes,474,10,464,8,1,"1,72%",464,"1,72%"
34074747165,Tordesillas,4677,84,4593,80,1,"1,74%",4593,"1,74%"
34070505157,Navalacruz,179,3,176,3,1,"1,70%",172,"1,74%"
34090808193,Sant Iscle de Vallalta,642,12,630,11,1,"1,75%",630,"1,75%"
34081616100,Los Hinojosos,586,14,572,10,1,"1,75%",572,"1,75%"
34014141047,Gines,7031,69,6962,122,1,"1,75%",6962,"1,75%"
34011414001,Adamuz,2830,53,2777,49,1,"1,76%",2777,"1,76%"
34040707055,Santa Margalida,5767,102,5665,100,1,"1,77%",5665,"1,77%"
34164848067,Muxika,858,10,848,15,1,"1,77%",848,"1,77%"
34091717226,Vilamalla,737,3,734,13,2,"1,77%",734,"1,77%"
34090808211,Sant Feliu de Llobregat,19663,317,19346,344,3,"1,78%",19346,"1,78%"
34053838034,San Juan de la Rambla,2979,63,2916,52,1,"1,78%",2916,"1,78%"
34074949275,Zamora,29606,229,29377,524,4,"1,78%",29377,"1,78%"
34012121007,Aracena,4128,156,3972,71,1,"1,79%",3972,"1,79%"
34014141006,Alcolea del Río,1990,36,1954,35,1,"1,79%",1954,"1,79%"
