Client_name;grade;emp_title;emp_length;home_ownership;annual_inc;addr_state;riesgo
36254748;D;Driver;< 1 year;OWN;75000.0;GA;Sin riesgo
45901091;D;Sterile Processing Supervisor;10+ years;RENT;56000.0;AZ;Bajo riesgo
1041313;B;Rest;;RENT;17436.0;WA;Bajo riesgo
55309431;C;Account Executive;3 years;RENT;84000.0;NH;Bajo riesgo
61515031;C;Information assurance engineer;5 years;MORTGAGE;105360.0;VA;Alto riesgo
8342061;D;Culvers;9 years;MORTGAGE;25000.0;OH;Alto riesgo
67691990;E;Technician;3 years;MORTGAGE;38000.0;FL;Alto riesgo
5157104;A;The Heritage at Lowman;10+ years;MORTGAGE;43000.0;SC;Alto riesgo
36967111;A;COnsultant;6 years;RENT;88000.0;TX;Bajo riesgo
41408875;A;Director of Quality Assurance;2 years;MORTGAGE;140000.0;CA;Alto riesgo
55536204;D;Partner;6 years;MORTGAGE;50000.0;GA;Alto riesgo
15930125;D;Custodian;3 years;MORTGAGE;51160.0;IN;Alto riesgo
15409403;B;rn;10+ years;MORTGAGE;150000.0;CT;Alto riesgo
5407071;C;Swanberg-Judkins Insurance;3 years;MORTGAGE;35000.0;WA;Alto riesgo
64826294;B;Supervisor;10+ years;MORTGAGE;55000.0;VA;Alto riesgo
56550994;C;Network Engineer  ;3 years;MORTGAGE;68000.0;MO;Alto riesgo
58973213;C;Test Engineer;10+ years;MORTGAGE;92000.0;TX;Alto riesgo
55298110;B;General Manager;9 years;RENT;135000.0;NY;Bajo riesgo
53856548;C;Traffic Officer;8 years;MORTGAGE;80000.0;KY;Alto riesgo
1390104;A;Pro Unlimited at Genentech;2 years;RENT;75000.0;CA;Bajo riesgo
42732600;B;Manager;10+ years;OWN;42800.0;WV;Sin riesgo
71346060;A;Advertising Executive;6 years;MORTGAGE;175000.0;UT;Alto riesgo
989129;B;Gulf Bend MHMR;2 years;RENT;19200.0;TX;Bajo riesgo
54199238;C;problem solver (similar to assistant man;6 years;MORTGAGE;65000.0;CA;Alto riesgo
15419524;C;Rest;;RENT;42500.0;NV;Bajo riesgo
12428727;B;Rest;10+ years;OWN;70000.0;TN;Sin riesgo
59613078;C;Truck Driver;3 years;RENT;60000.0;MN;Bajo riesgo
10388929;B;RDA;6 years;MORTGAGE;38000.0;CA;Alto riesgo
31136240;B;PHLEBOTOMIST;10+ years;RENT;33000.0;NJ;Bajo riesgo
43809176;B;Marketing Manager;< 1 year;RENT;60000.0;CA;Bajo riesgo
9386766;C;Hospital Financial Models Manager;2 years;RENT;153000.0;OK;Bajo riesgo
59598890;D;Lead tech;10+ years;RENT;42000.0;MI;Bajo riesgo
65782286;A;Lecturer;2 years;RENT;65000.0;MD;Bajo riesgo
71241373;D;Deputy;10+ years;MORTGAGE;160000.0;TX;Alto riesgo
1224465;E;Media News;10+ years;MORTGAGE;125000.0;CA;Alto riesgo
10889578;D;Corrections Officer;10+ years;MORTGAGE;80000.0;AZ;Alto riesgo
13176897;B;HVAC technician;10+ years;RENT;28800.0;NY;Bajo riesgo
34120453;E;teller;< 1 year;RENT;19500.0;TX;Bajo riesgo
41398853;C;Supervisor/Administration;5 years;OWN;115000.0;TX;Sin riesgo
14267966;B;Payroll;10+ years;MORTGAGE;69000.0;TX;Alto riesgo
15189102;A;Human Resources ;7 years;RENT;82638.0;NJ;Bajo riesgo
1357002;D;Rest;< 1 year;MORTGAGE;12000.0;GA;Alto riesgo
1251921;B;Serco;< 1 year;MORTGAGE;91000.0;MD;Alto riesgo
16520581;B;1ST Sergeant;10+ years;RENT;82000.0;WA;Bajo riesgo
27769308;C;Counselor;1 year;MORTGAGE;40000.0;NV;Alto riesgo
10338197;B;Teacher;10+ years;MORTGAGE;118000.0;CA;Alto riesgo
930900;B;NOVA Southeastern University;3 years;OWN;36000.0;FL;Sin riesgo
33289240;A;Bartender/Server;10+ years;MORTGAGE;75000.0;TX;Alto riesgo
8537986;C;The University of Tennessee;8 years;RENT;38000.0;TN;Bajo riesgo
12012051;A;Director, Solutions Management;< 1 year;MORTGAGE;152000.0;VA;Alto riesgo
64943898;B;Licensed Addiction Counselor II;10+ years;RENT;52200.0;MN;Bajo riesgo
43938561;E;Office Manager;10+ years;MORTGAGE;92000.0;IN;Alto riesgo
18394358;C;Executive Vice President ;1 year;RENT;175000.0;CO;Bajo riesgo
67059319;D;Network Administrator;10+ years;MORTGAGE;68000.0;NJ;Alto riesgo
11689088;B;Consultant;1 year;RENT;105000.0;MA;Bajo riesgo
11954494;G;REVENUE AGENT;5 years;MORTGAGE;65000.0;FL;Alto riesgo
63137948;A;Materials Engineer;2 years;MORTGAGE;110000.0;AL;Alto riesgo
1222931;A;Maggianos;5 years;RENT;40800.0;PA;Bajo riesgo
64151906;B;IT;10+ years;OWN;78000.0;NJ;Sin riesgo
2117327;C;Rest;;RENT;36000.0;HI;Bajo riesgo
47884419;A;machine tender;10+ years;MORTGAGE;94000.0;MI;Alto riesgo
961025;C;American Mobile Healthcare;3 years;RENT;50000.0;CA;Bajo riesgo
1415586;B;Columbus Cardiology;< 1 year;RENT;300000.0;GA;Bajo riesgo
3871337;B;Medical Center Radiology;10+ years;RENT;52000.0;FL;Bajo riesgo
15110279;F;Program Manager;5 years;MORTGAGE;55000.0;AZ;Alto riesgo
1400448;A;Charter Oak Financial/MassMutual;10+ years;MORTGAGE;55000.0;CT;Alto riesgo
13208459;B;Buyer/Planner;6 years;RENT;58000.0;CA;Bajo riesgo
8339669;C;First Transit;3 years;RENT;88000.0;AZ;Bajo riesgo
1202989;B;State Bar of Georgia;10+ years;MORTGAGE;80000.0;GA;Alto riesgo
10636948;C;patient representative;1 year;OWN;57000.0;TX;Sin riesgo
70274980;C;General manager;< 1 year;RENT;54000.0;PA;Bajo riesgo
8134614;B;Verizon Wireless;9 years;RENT;52000.0;SC;Bajo riesgo
24725483;C;bartender;< 1 year;RENT;40000.0;FL;Bajo riesgo
15158850;D;Rest;;RENT;34043.0;NC;Bajo riesgo
1661824;B;US Coast Guard;10+ years;RENT;65000.0;RI;Bajo riesgo
491487;E;TD Bank;4 years;MORTGAGE;50700.0;NJ;Alto riesgo
13248415;A;Staff Nurse;< 1 year;RENT;86000.0;NC;Bajo riesgo
23903918;C;manager;10+ years;RENT;45000.0;TX;Bajo riesgo
863008;A;GreenPath;4 years;RENT;48000.0;MI;Bajo riesgo
14518255;C;Field Engineer;3 years;MORTGAGE;50000.0;SC;Alto riesgo
66216250;C;General Manager;2 years;MORTGAGE;78470.65;AL;Alto riesgo
40976380;B;Claims Anayst;3 years;MORTGAGE;34000.0;NH;Alto riesgo
7007021;C;Hospital University of Pennsylvania;3 years;MORTGAGE;220000.0;PA;Alto riesgo
51462603;E;lead quality auditor;10+ years;MORTGAGE;59000.0;PA;Alto riesgo
36474938;C;Driver;9 years;OWN;64000.0;NJ;Sin riesgo
72647218;A;Integration Engineer;< 1 year;MORTGAGE;117000.0;CO;Alto riesgo
8708988;D;sacramento county;10+ years;OWN;110000.0;CA;Sin riesgo
54586817;E;welder;1 year;RENT;36000.0;CA;Bajo riesgo
58941959;B;Manager, Dealer Agreements;10+ years;MORTGAGE;95000.0;MI;Alto riesgo
71162046;B;Mechanic;1 year;MORTGAGE;46163.0;OH;Alto riesgo
64373531;A;Director for Hospital Services;2 years;MORTGAGE;120000.0;TX;Alto riesgo
25546466;C;Regional Sales Manager;4 years;MORTGAGE;175000.0;MI;Alto riesgo
15829867;B;General Manager;2 years;MORTGAGE;65000.0;FL;Alto riesgo
58114385;E;Billing Lead;6 years;MORTGAGE;42000.0;CA;Alto riesgo
58731465;E;Education Coordinator;2 years;RENT;52000.0;MA;Bajo riesgo
4858620;B;AGRISOFT CMC;5 years;RENT;97000.0;CA;Bajo riesgo
34371329;A;Executive Pastor;10+ years;MORTGAGE;60000.0;CA;Alto riesgo
852088;B;Ross Stores, Inc;10+ years;MORTGAGE;110000.0;CA;Alto riesgo
72239341;C;Caregiver;1 year;RENT;27720.0;OR;Bajo riesgo
8723878;B;Washington University;3 years;MORTGAGE;60000.0;MO;Alto riesgo
2827553;A;Abtech Systems;10+ years;RENT;150000.0;CA;Bajo riesgo
70430109;B;Principal;2 years;MORTGAGE;85000.0;TX;Alto riesgo
41016234;B;Installation/Repair Technician;10+ years;MORTGAGE;65000.0;CT;Alto riesgo
62514296;E;Associate Director of Finance;6 years;RENT;150000.0;NY;Bajo riesgo
9328005;B;Regional Revenue Manager;6 years;MORTGAGE;75000.0;OH;Alto riesgo
595301;A;Citibank;10+ years;MORTGAGE;260000.0;CT;Alto riesgo
42466633;D;Systems Operator;8 years;RENT;48000.0;NV;Bajo riesgo
1706981;A;Agfa Gevert ;10+ years;RENT;50000.0;NY;Bajo riesgo
61497033;A;clinician;< 1 year;MORTGAGE;45000.0;LA;Alto riesgo
41115046;C;Editor;2 years;RENT;35000.0;AZ;Bajo riesgo
695030;C;Internal Revenue Service;10+ years;RENT;42996.0;PA;Bajo riesgo
3780559;D;Rest;;MORTGAGE;71700.0;CA;Alto riesgo
64771169;B;Construction Superintendant ;9 years;RENT;54000.0;CA;Bajo riesgo
15108253;C;Mechanic;8 years;OWN;45000.0;IN;Sin riesgo
37286626;C;Supervisor Assistant;< 1 year;RENT;77600.0;WI;Bajo riesgo
71198560;B;Sales Manager;10+ years;MORTGAGE;62000.0;NY;Alto riesgo
43395810;C;Store Manager;3 years;RENT;45000.0;GA;Bajo riesgo
1782152;C;Parkside Associates;10+ years;RENT;39000.0;CA;Bajo riesgo
43809005;C;Pharmacy Manager;7 years;MORTGAGE;126000.0;WA;Alto riesgo
33679411;C;Art Director;10+ years;MORTGAGE;64000.0;PA;Alto riesgo
158286;C;Snelson Co. inc;< 1 year;RENT;80000.0;NY;Bajo riesgo
991788;B;Dito;< 1 year;RENT;65000.0;MI;Bajo riesgo
53243697;A;Software Engineer;7 years;RENT;88000.0;NY;Bajo riesgo
46386868;F;IT Director;3 years;MORTGAGE;98000.0;CA;Alto riesgo
67758830;C;Firefighter/Basic;9 years;MORTGAGE;50000.0;VA;Alto riesgo
37085339;B;Injection Technician;5 years;MORTGAGE;28000.0;MS;Alto riesgo
43946859;C;monitor on school bus;5 years;MORTGAGE;66373.0;GA;Alto riesgo
37958077;A;CBT Developer;2 years;MORTGAGE;66000.0;AR;Alto riesgo
11961629;E;Installer;4 years;RENT;80000.0;OR;Bajo riesgo
21188350;B;Director and Actuary;7 years;MORTGAGE;138000.0;NJ;Alto riesgo
23873425;B;Rest;;RENT;40000.0;NY;Bajo riesgo
58773750;B;electrical estimator;10+ years;MORTGAGE;130000.0;TX;Alto riesgo
4590656;C;Johnson & Johnson;5 years;MORTGAGE;77600.0;PA;Alto riesgo
300025;E;Valley Medical Center;< 1 year;RENT;48000.0;WA;Bajo riesgo
62645535;F;Bus Driver;2 years;MORTGAGE;51000.0;IL;Alto riesgo
41200407;B;Rest;;MORTGAGE;36000.0;CA;Alto riesgo
62654920;B;FINANCIAL ACTUARY;2 years;MORTGAGE;120000.0;NE;Alto riesgo
5407699;E;fabco;< 1 year;RENT;50000.0;CA;Bajo riesgo
21899621;C;TRUCKDRIVER/ MECANIC;10+ years;OWN;68000.0;PA;Sin riesgo
48422174;A;Assoc. Chief Financial Officer;9 years;MORTGAGE;175000.0;FL;Alto riesgo
58538916;A;Personal trainer;4 years;RENT;20000.0;CT;Bajo riesgo
62482888;B;Owner;8 years;MORTGAGE;45000.0;GA;Alto riesgo
1599858;C;Rest;;RENT;11000.0;IL;Bajo riesgo
38691504;C;Financial Analyst;10+ years;RENT;95784.0;VA;Bajo riesgo
54158889;C;Sales Manager;9 years;MORTGAGE;110000.0;NJ;Alto riesgo
39012493;C;Sargeant;7 years;MORTGAGE;36000.0;LA;Alto riesgo
72529360;C;Lecturer;5 years;MORTGAGE;65000.0;NY;Alto riesgo
30174659;C;Supervisor;10+ years;RENT;99000.0;NY;Bajo riesgo
25475676;A;partner;10+ years;MORTGAGE;700000.0;NY;Alto riesgo
9032445;B;BWMC;10+ years;RENT;34415.0;MD;Bajo riesgo
7008713;E;NYCT/MABSTOA;10+ years;RENT;92000.0;NY;Bajo riesgo
68671493;D;Account Executive;9 years;MORTGAGE;85000.0;OK;Alto riesgo
15739761;B;Server;5 years;RENT;29000.0;IL;Bajo riesgo
37898222;A;Business Consultant, Project Manager;10+ years;OWN;111000.0;NY;Sin riesgo
5797119;A;Rest;;MORTGAGE;50276.0;IL;Alto riesgo
70079758;E;Independent Contractor;1 year;RENT;55000.0;NY;Bajo riesgo
2426592;C;J & C Tropicals;3 years;MORTGAGE;50000.0;FL;Alto riesgo
20107238;D;biller/coder;2 years;MORTGAGE;56637.0;MO;Alto riesgo
49890670;B;Manager Business Development;< 1 year;OWN;140000.0;TX;Sin riesgo
72917442;B;Welder;4 years;RENT;48000.0;CA;Bajo riesgo
1485938;B;Twin Rivers Unified School District ;8 years;MORTGAGE;95000.0;CA;Alto riesgo
1661711;A;FAA;10+ years;MORTGAGE;185000.0;TX;Alto riesgo
59590217;B;System Director;4 years;MORTGAGE;270000.0;KY;Alto riesgo
67169434;D;Financial Services Technician;3 years;RENT;50000.0;FL;Bajo riesgo
1250631;C;Administrator;10+ years;MORTGAGE;117000.0;GA;Alto riesgo
22422919;C;Operations Manager;5 years;RENT;60000.0;NY;Bajo riesgo
9040687;C;Murphy Tractor and Equipment Company;10+ years;RENT;60000.0;MO;Bajo riesgo
682649;B;Los Alamos National Lab;10+ years;MORTGAGE;91100.0;NM;Alto riesgo
803090;C;General Atomics;< 1 year;MORTGAGE;50000.0;CA;Alto riesgo
8529266;C;SGMF;1 year;RENT;28000.0;CA;Bajo riesgo
63038398;B;Branch Manager;6 years;MORTGAGE;72000.0;CO;Alto riesgo
15010330;A;Warehouse clerk;5 years;RENT;66000.0;TX;Bajo riesgo
59762016;A;PRA;10+ years;MORTGAGE;45000.0;CO;Alto riesgo
6029568;B;Jefferson Regional Medical Center;5 years;RENT;65000.0;AR;Bajo riesgo
66382892;C;I and E Designer ;1 year;MORTGAGE;90000.0;TX;Alto riesgo
46302236;A;Technician ;7 years;MORTGAGE;60000.0;FL;Alto riesgo
72658272;B;Bus driver ;10+ years;RENT;65000.0;MO;Bajo riesgo
63087652;C;Foreman;2 years;MORTGAGE;84000.0;AK;Alto riesgo
70740923;E;Rest;;MORTGAGE;52375.0;LA;Alto riesgo
53898075;D;Program Coordinator;10+ years;MORTGAGE;52000.0;CA;Alto riesgo
1297966;A;northstar fire protection;10+ years;MORTGAGE;65000.0;TX;Alto riesgo
68780465;A;Media / Lighting Director ;4 years;MORTGAGE;52000.0;OK;Alto riesgo
54786061;B;RN;5 years;RENT;100000.0;CA;Bajo riesgo
66115686;E;Optical Manager;10+ years;RENT;63000.0;FL;Bajo riesgo
41253252;D;service support;2 years;RENT;22000.0;NJ;Bajo riesgo
64822263;D;Administrative Assistant;10+ years;MORTGAGE;38000.0;LA;Alto riesgo
55338659;B;Sales ;10+ years;MORTGAGE;65000.0;TX;Alto riesgo
63068653;C;tech support;4 years;RENT;45000.0;CA;Bajo riesgo
51732983;C;LPN;5 years;MORTGAGE;32000.0;NY;Alto riesgo
35673320;A;Rest;;OWN;29537.0;OK;Sin riesgo
46516540;B;Rest;;MORTGAGE;75000.0;OH;Alto riesgo
46816833;C;Plant Operations;9 years;MORTGAGE;45000.0;FL;Alto riesgo
4722202;C;United Airlines;10+ years;RENT;45000.0;MN;Bajo riesgo
10761832;D;Technicician;10+ years;RENT;109000.0;NY;Bajo riesgo
43407586;A;Marketing officer;10+ years;OWN;70000.0;FL;Sin riesgo
12480011;B;Loan Doc Specialist;10+ years;RENT;29000.0;MO;Bajo riesgo
13380393;B;Sergeant;7 years;RENT;33000.0;GA;Bajo riesgo
18434638;A;general manager;9 years;RENT;42000.0;NJ;Bajo riesgo
43936818;B;office manager;9 years;MORTGAGE;40000.0;MD;Alto riesgo
10391011;D;Executive Assistant;10+ years;RENT;90000.0;WA;Bajo riesgo
1188852;C;raw hide;< 1 year;RENT;30000.0;KS;Bajo riesgo
65438430;C;Executive Assistant;8 years;MORTGAGE;100000.0;CA;Alto riesgo
8079578;B;ZEAG America;5 years;MORTGAGE;60000.0;MN;Alto riesgo
65671196;B;Sr. Project Manager;3 years;RENT;150000.0;CA;Bajo riesgo
52841980;B;Writer;4 years;RENT;40000.0;CA;Bajo riesgo
1117501;D;AccountMate Software;6 years;MORTGAGE;51000.0;CA;Alto riesgo
12031894;A;Teacher;6 years;MORTGAGE;48000.0;TX;Alto riesgo
49984766;B;HR/Safety Manager;9 years;MORTGAGE;75000.0;TX;Alto riesgo
8527646;B;Security Service;6 years;MORTGAGE;63000.0;UT;Alto riesgo
57558148;E;Fleet Manager;2 years;OWN;80000.0;IL;Sin riesgo
34041190;C;Caseworker;3 years;MORTGAGE;45000.0;NY;Alto riesgo
32658535;B;Environmental Driller;2 years;RENT;75000.0;NJ;Bajo riesgo
2425896;D;Malheur Drug #2;6 years;MORTGAGE;38000.0;OR;Alto riesgo
69959647;E;Sales;10+ years;RENT;55000.0;NJ;Bajo riesgo
43907901;E;Manager;6 years;RENT;40000.0;FL;Bajo riesgo
1870034;C;National Geographic Publishing;< 1 year;RENT;65000.0;CA;Bajo riesgo
7670201;C;UPS;10+ years;RENT;56160.0;GA;Bajo riesgo
44005889;C;Seed Technichian;5 years;RENT;26000.0;MN;Bajo riesgo
14517998;C;Medical Biller;4 years;RENT;50112.0;CA;Bajo riesgo
59055817;B;Pharmacy technician;1 year;OWN;50000.0;IL;Sin riesgo
13968057;B;Rest;< 1 year;RENT;68000.0;CA;Bajo riesgo
47874792;C;Speech Language Pathology Assistant;2 years;RENT;68500.0;AK;Bajo riesgo
8733589;B;Home Depot;8 years;MORTGAGE;61000.0;CA;Alto riesgo
11527905;B;Rest;7 years;RENT;55000.0;CA;Bajo riesgo
34832281;C;Aircraft Technician;< 1 year;RENT;62000.0;OR;Bajo riesgo
32398116;B;pm;10+ years;MORTGAGE;83200.0;NJ;Alto riesgo
8339185;C;J.M. Field Marketing;5 years;MORTGAGE;75000.0;PA;Alto riesgo
31216536;C;Consultant;< 1 year;RENT;160000.0;NY;Bajo riesgo
41370903;C;pharmacy clerk;10+ years;RENT;49000.0;CA;Bajo riesgo
8560474;D;Buckeye CableSystems;2 years;RENT;26000.0;OH;Bajo riesgo
10356875;B;Senior Estimator;8 years;MORTGAGE;190000.0;CA;Alto riesgo
43406001;C;Rest;;RENT;27802.8;CO;Bajo riesgo
53442847;A;Vice President;10+ years;MORTGAGE;48000.0;OH;Alto riesgo
26267534;C;Teacher;3 years;RENT;45000.0;CT;Bajo riesgo
63100086;C;Teacher;10+ years;MORTGAGE;70000.0;NY;Alto riesgo
43416619;C;Lending Manager;10+ years;MORTGAGE;105000.0;IL;Alto riesgo
722607;E;Forester Properties, Inc.;3 years;RENT;40800.0;CA;Bajo riesgo
70641280;C;Director, Learning;8 years;MORTGAGE;140000.0;GA;Alto riesgo
4171682;C;halifax country club;4 years;RENT;36000.0;MA;Bajo riesgo
16310953;B;LPN;6 years;MORTGAGE;44337.0;IN;Alto riesgo
4849914;C;Genuine Parts Company;10+ years;MORTGAGE;97000.0;GA;Alto riesgo
45280997;D;Engineer;9 years;OWN;115000.0;CA;Sin riesgo
2733172;E;Bernard's salon;2 years;RENT;12000.0;NJ;Bajo riesgo
64836554;C;Advanced Repair Agent;1 year;OWN;18000.0;CT;Sin riesgo
1028404;A;Sprint;2 years;OWN;32000.0;KS;Sin riesgo
8557774;F;Huntington Ingalls Industries;10+ years;MORTGAGE;52000.0;VA;Alto riesgo
16522161;E;asmo;9 years;RENT;60000.0;NJ;Bajo riesgo
23643560;C;Probation/Parole Agent;10+ years;RENT;48000.0;WI;Bajo riesgo
67870919;C;Senior Project Manager ;2 years;MORTGAGE;75000.0;OK;Alto riesgo
44857139;F;Csc;4 years;MORTGAGE;75000.0;PA;Alto riesgo
34963326;B;Buyer/Admin Asst;10+ years;MORTGAGE;41600.0;AR;Alto riesgo
58729296;B;Partner;9 years;OWN;142000.0;NV;Sin riesgo
23893925;D;electrician;10+ years;OWN;58000.0;SC;Sin riesgo
53907707;D;Chef;10+ years;MORTGAGE;68500.0;CT;Alto riesgo
57535838;D;Tax Associate;2 years;RENT;50000.0;MA;Bajo riesgo
10707815;B;surgical tech;5 years;RENT;65000.0;CA;Bajo riesgo
1852768;A;Wells Fargo;10+ years;MORTGAGE;48000.0;MN;Alto riesgo
42992701;B;Rest;;MORTGAGE;25000.0;MN;Alto riesgo
66394440;A;Owner;10+ years;MORTGAGE;74000.0;TN;Alto riesgo
39880682;B;vice president;10+ years;MORTGAGE;90000.0;IN;Alto riesgo
998890;C;Hedrick Brothers Construction;4 years;RENT;60000.0;FL;Bajo riesgo
671134;D;usps;10+ years;MORTGAGE;60000.0;WY;Alto riesgo
8069377;D;John R Houck Co.;9 years;MORTGAGE;33600.0;VA;Alto riesgo
63345035;C;Plant Manager III;10+ years;RENT;161000.0;GA;Bajo riesgo
62969849;C;server/ pastry;4 years;RENT;30000.0;NJ;Bajo riesgo
49724867;B;Manager;10+ years;MORTGAGE;52000.0;CT;Alto riesgo
57095846;D;Director of Strategic Planning;9 years;MORTGAGE;135000.0;TX;Alto riesgo
62394691;B;State Parole Agent ;10+ years;MORTGAGE;98000.0;CA;Alto riesgo
43560372;C;IT Systems Administrator;10+ years;RENT;67000.0;MA;Bajo riesgo
9430964;B;Customer Service Representative;8 years;RENT;36000.0;CA;Bajo riesgo
31005850;B;Administrator;10+ years;RENT;42000.0;CA;Bajo riesgo
71289995;C;Owner;10+ years;MORTGAGE;36000.0;NJ;Alto riesgo
33730899;C;mng;9 years;MORTGAGE;62400.0;FL;Alto riesgo
43225366;B;Teacher;3 years;RENT;36000.0;VA;Bajo riesgo
65429882;D;Electronics Coordinator;10+ years;RENT;43000.0;CA;Bajo riesgo
54526658;C;Fueler;< 1 year;RENT;67500.0;MO;Bajo riesgo
39496128;B;Engineer;5 years;MORTGAGE;110000.0;KS;Alto riesgo
5492790;E;Columbia University Medical Center;10+ years;RENT;54000.0;NJ;Bajo riesgo
44113221;B;optician;5 years;MORTGAGE;37500.0;MI;Alto riesgo
8427208;D;verizon;10+ years;RENT;120000.0;NY;Bajo riesgo
8438024;C;ODOC;10+ years;MORTGAGE;60000.0;OR;Alto riesgo
45981274;A;Dispatcher/911 Operator;9 years;MORTGAGE;80000.0;AZ;Alto riesgo
53968182;A;Managing Director;7 years;RENT;165000.0;CA;Bajo riesgo
21729041;E;VP;1 year;MORTGAGE;110000.0;SC;Alto riesgo
2728805;B;CA Technologies;7 years;MORTGAGE;210000.0;NY;Alto riesgo
10297525;B;Rest;;MORTGAGE;65000.0;CA;Alto riesgo
61484856;B;City Clerk;10+ years;MORTGAGE;108000.0;CO;Alto riesgo
72087142;B;Selector;< 1 year;RENT;30000.0;CO;Bajo riesgo
10752630;B;Auditor;5 years;MORTGAGE;61800.0;WY;Alto riesgo
9399517;A;Quality Technician;6 years;MORTGAGE;67000.0;TN;Alto riesgo
38971448;D;Senior Nurse Practitioner;8 years;OWN;101000.0;MD;Sin riesgo
10547516;C;driver;10+ years;RENT;25000.0;VA;Bajo riesgo
23594032;C;IT Tech 2;6 years;MORTGAGE;72000.0;WA;Alto riesgo
913586;B;Oakley;3 years;RENT;68000.0;CA;Bajo riesgo
65543480;B;Operations Supervisor;4 years;MORTGAGE;65000.0;KS;Alto riesgo
11626793;B;Service food associate;8 years;MORTGAGE;40000.0;AK;Alto riesgo
66492571;F;general manager;10+ years;RENT;150000.0;SC;Bajo riesgo
663575;C;post office;10+ years;MORTGAGE;6000000.0;CA;Alto riesgo
